Orthologous_group	Scerevisiae	Calbicans
OG1782	YBL061C	C3_05700W_A
OG1783	YHR068W	C3_02180C_A
OG1785	YCL004W	C7_00470C_A
OG1786	YOR136W	C2_03080W_A
OG1787	YKL014C	C1_07660W_A
OG1789	YPL125W	C7_04030C_A
OG1790	YLR117C	C3_03330C_A
OG1791	YDR266C	C6_01350W_A
OG1792	YOR090C	CR_08160W_A
OG1793	YGL224C	C5_04360C_A
OG1794	YGR274C	C1_07110W_B
OG1795	YPL082C	C2_04500W_A
OG1796	YJL033W	C4_02830C_A
OG1797	YLR347C	C1_02240W_A
OG1798	YKR024C	C7_01200C_A
OG1801	YLR234W	C3_04740C_A
OG1802	YJR121W	C4_00270W_A
OG1803	YAL021C	C1_08220W_A
OG1804	YBR143C	C2_05100C_A
OG1805	YEL002C	C1_11170W_A
OG1806	YJR132W	
OG1808	YPR140W	C2_09350W_A
OG1809	YLR002C	C7_03850W_A
OG1811	YBL076C	C6_04520W_A
OG1812	YPR173C	C5_03090W_A
OG1813	YER091C	CR_01620C_A
OG1814	YCR068W	C6_01740C_A
OG1815	YLR377C	C3_07830W_A
OG1817	YOL021C	C1_12350W_A
OG1818	YNL118C	CR_08120C_A
OG1819	YMR300C	C1_07710C_A
OG1820	YFR031C	
OG1821	YCR042C	C6_04500C_A
OG1822	YFR044C	C5_04300C_A
OG1824	YLR103C	CR_07720C_A
OG1825	YGL234W	C1_07890C_A
OG1826	YGR098C	C1_01670C_A
OG1827	YIL033C	C2_01110C_A
OG1828	YOR291W	C2_02490C_A
OG1829	YML093W	CR_09800C_A
OG1830	YJL194W	C1_12220W_A
OG1831	YIL091C	CR_06840W_B
OG1832	YDR172W	C2_09720W_A
OG1833	YBR179C	C4_04260C_A
OG1834	YPL237W	
OG1835	YKL085W	C4_01900C_A
OG1836	YGL099W	C6_02230W_A
OG1837	YNL084C	C3_01400W_A
OG1839	YGL091C	
OG1840	YGL236C	C1_07800W_A
OG1841	YLR383W	C7_01580W_A
OG1843	YDR023W	C3_02780W_A
OG1844	YFL001W	C5_01610W_A
OG1845	YGL019W	C2_00300C_A
OG1846	YDR238C	CR_04380C_A
OG1847	YOR168W	C7_00550C_A
OG1848	YPL012W	C7_01030C_A
OG1849	YNL062C	CR_04160C_A
OG1851	YNL186W	C4_03440C_A
OG1852	YMR301C	C6_04210C_A
OG1854	YIL103W	C2_05840W_A
OG1855	YCR061W	C1_10360C_B
OG1856	YFL022C	C1_02710W_A
OG1857	YHR074W	C2_01530C_A
OG1858	YBL022C	CR_04340W_A
OG1860	YMR128W	C2_00410C_A
OG1861	YNL287W	C1_04830W_A
OG1862	YGR145W	C7_03540C_A
OG1863	YPR175W	CR_09900C_A
OG1864	YOR370C	C3_07170C_A
OG1865	YMR023C	C2_00820W_A
OG1866	YDR388W	C6_04040C_A
OG1867	YJL102W	C1_07000W_A
OG1868	YLR129W	C1_08290C_A
OG1869	YKR009C	C3_00810C_A
OG1870	YNL161W	C1_10380C_A
OG1871	YDL084W	C4_00220C_A
OG1872	YOR048C	C4_01080W_A
OG1874	YKL113C	CR_04560C_A
OG1876	YCL017C	C7_00390W_A
OG1878	YGL028C	C5_04110W_A
OG1879	YGL180W	C4_04450C_A
OG1880	YER003C	C2_09640W_A
OG1881	YKR097W	CR_00200W_A
OG1883	YDR158W	C2_02370C_A
OG1884	YPL009C	
OG1885	YPL086C	C3_06060W_A
OG1886	YOR001W	C1_05050C_A
OG1887	YDR017C	CR_05260C_A
OG1888	YIL143C	CR_02970C_A
OG1889	YDR080W	C1_09920W_A
OG1890	YDR335W	C4_03280W_A
OG1891	YKL010C	CR_01170W_A
OG1892	YOR375C	C4_06120W_A
OG1893	YLR274W	C2_06250C_A
OG1894	YHL002W	CR_01210C_A
OG1895	YEL050C	C3_00450C_A
OG1896	YFL039C	C1_13700W_A
OG1897	YPL028W	C2_04310W_A
OG1898	YDR120C	CR_00900W_A
OG1899	YDR232W	CR_02000C_A
OG1900	YBR142W	C2_05090W_A
OG1901	YPL217C	C3_01000W_A
OG1902	YGR245C	
OG1903	YOL145C	C7_00520W_A
OG1904	YML126C	CR_09160C_A
OG1905	YHR144C	C1_14310W_A
OG1906	YER162C	
OG1907	YBR241C	CR_03040C_A
OG1909	YDR129C	C6_02730W_A
OG1911	YNL102W	C3_04300C_A
OG1912	YPL043W	C1_04390C_A
OG1913	YOR145C	CR_10410C_A
OG1914	YHR114W	C3_01500C_A
OG1916	YIL108W	C3_02570W_A
OG1917	YNL064C	
OG1918	YLR401C	C2_02420C_A
OG1919	YMR027W	
OG1920	YER036C	
OG1921	YNL123W	C1_00990C_A
OG1922	YIL142W	
OG1923	YHR107C	C1_03210C_A
OG1924	YDR148C	CR_07420W_A
OG1926	YDL031W	
OG1927	YGR211W	C1_01110C_A
OG1928	YNL297C	C1_13130C_A
OG1929	YDL198C	C6_01930W_A
OG1930	YGL211W	C4_01500W_A
OG1931	YLR069C	C1_13060C_A
OG1932	YJR117W	C4_00280W_A
OG1933	YIL020C	C4_05640C_A
OG1934	YHR206W	C5_00240W_A
OG1935	YNR050C	C3_06590W_A
OG1936	YER127W	C3_06370C_A
OG1937	YDR182W	C4_07200C_A
OG1938	YGR100W	C4_05600W_A
OG1939	YJL053W	C3_03880C_A
OG1940	YCR092C	C2_08680W_A
OG1941	YER148W	C1_10660W_A
OG1942	YPR137W	CR_02710W_A
OG1943	YOL058W	CR_00620C_A
OG1944	YLR303W	C4_00200C_A
OG1945	YNL212W	C6_00130C_A
OG1946	YMR093W	C2_08670C_A
OG1947	YJR040W	C3_04360W_A
OG1948	YDR331W	C1_07460C_A
OG1949	YDR334W	C2_07560W_A
OG1951	YFL002C	C5_01600C_A
OG1952	YDR490C	
OG1953	YOR160W	C5_03760C_A
OG1954	YBR025C	C1_04890W_A
OG1955	YKL191W	C4_00490W_A
OG1957	YDR060W	
OG1958	YDR027C	C2_01170C_A
OG1959	YBR221C	C4_04150C_A
OG1961	YLR222C	C5_02550C_A
OG1962	YPL104W	C1_04030W_A
OG1964	YPL167C	C3_06080W_A
OG1965	YNL163C	C1_07140C_A
OG1966	YKR069W	C2_02940W_A
OG1967	YNL231C	
OG1968	YDL001W	
OG1969	YGL119W	C1_01450W_A
OG1970	YPR133C	C1_06590C_A
OG1971	YPL260W	C1_09850C_A
OG1972	YGR082W	C1_02640C_A
OG1973	YML065W	C1_03070C_A
OG1974	YPR112C	C3_02020W_B
OG1975	YDR454C	C5_03790W_A
OG1976	YLR009W	C4_00510C_A
OG1977	YBL033C	CR_02990C_A
OG1978	YLR197W	CR_09950C_A
OG1980	YHL016C	C1_04650W_A
OG1982	YOR330C	C6_01550C_A
OG1983	YPR033C	C5_05490C_A
OG1984	YDR394W	C2_03060W_A
OG1985	YPR041W	C5_02490C_A
OG1986	YDL190C	C3_04970C_A
OG1987	YDL102W	C7_02790C_A
OG1988	YOL097C	C1_12380C_A
OG1989	YER095W	CR_02200C_A
OG1990	YPR189W	C1_09830W_A
OG1992	YGL190C	C2_01600C_A
OG1993	YPR029C	CR_02870W_A
OG1994	YPL195W	C3_02590W_A
OG1995	YPL131W	
OG1996	YDR270W	C5_03020W_A
OG1997	YCR011C	CR_05950C_A
OG1998	YDR188W	C4_06830C_A
OG1999	YLL008W	
OG2000	YGL194C	C3_00780W_A
OG2001	YBL023C	CR_03830C_A
OG2002	YJL208C	C5_00280C_A
OG2003	YGL201C	CR_02110W_A
OG2004	YLR447C	
OG2005	YGR258C	C4_03550W_A
OG2006	YPR191W	C5_03350W_A
OG2009	YML049C	C3_00660W_A
OG2010	YGL114W	C6_03930W_A
OG2012	YJL095W	C7_02990W_B
OG2014	YLR060W	CR_01760C_A
OG2015	YCR002C	
OG2016	YIR002C	C4_06190C_A
OG2017	YEL037C	C2_01850W_B
OG2018	YOR341W	C1_10670C_A
OG2019	YIL003W	C2_09670C_A
OG2020	YOR243C	C2_10270W_B
OG2021	YJL111W	C5_01690C_A
OG2022	YGR085C	C2_06810C_A
OG2023	YKL064W	C4_00400W_A
OG2024	YMR309C	C4_01490W_A
OG2025	YIL090W	CR_06640C_A
OG2026	YIL157C	C4_04130W_A
OG2027	YLR409C	
OG2028	YER090W	
OG2029	YPR190C	CR_02890C_A
OG2030	YNL248C	C2_01070W_A
OG2031	YOL049W	CR_08370W_A
OG2032	YDR035W	C2_02030W_A
OG2033	YOL123W	C3_05150W_A
OG2034	YPR019W	C1_12550C_A
OG2035	YDR152W	C7_01420W_A
OG2036	YCR057C	CR_00800C_A
OG2037	YCR017C	CR_01290C_A
OG2038	YBR196C	CR_06340C_A
OG2039	YDL143W	C4_02780W_A
OG2040	YKL196C	C1_02860C_A
OG2041	YGL171W	C1_12600C_A
OG2043	YNL026W	C3_05770C_A
OG2044	YBR041W	C6_00740W_A
OG2045	YKL134C	C6_00340C_A
OG2046	YKL165C	C1_12200W_A
OG2047	YGR238C	
OG2048	YGR007W	C2_00260C_A
OG2049	YKL022C	C4_05340W_A
OG2050	YDR212W	C1_08560W_A
OG2051	YDR430C	C3_06230W_A
OG2052	YDL060W	CR_08490W_A
OG2053	YOR128C	C3_04520C_A
OG2055	YGL094C	C1_09070W_A
OG2056	YLR420W	C5_00900C_A
OG2057	YDL205C	
OG2058	YGR231C	C3_05030W_A
OG2059	YDR091C	C1_03350C_A
OG2060	YOR206W	CR_05520W_A
OG2062	YDR047W	C2_10860C_A
OG2063	YGL207W	
OG2064	YGR054W	C1_02430C_B
OG2065	YER082C	C1_09710C_A
OG2066	YGR095C	
OG2067	YJL074C	C3_02700W_A
OG2068	YJL012C	C4_03360C_A
OG2069	YOR259C	CR_04000W_A
OG2070	YOR117W	C4_06870W_A
OG2071	YNL071W	
OG2072	YKL155C	C1_05500W_A
OG2073	YKL059C	C4_01650C_A
OG2074	YKR080W	C4_04720W_A
OG2075	YBL032W	C6_03380W_A
OG2076	YML061C	CR_07360W_A
OG2077	YFL036W	C1_00640C_A
OG2078	YNR053C	
OG2079	YHR027C	C1_13300C_B
OG2080	YPL063W	C1_11220C_A
OG2081	YNL317W	C1_11090C_A
OG2082	YGL148W	
OG2083	YHR076W	C4_00340W_A
OG2085	YPL093W	C3_06030W_A
OG2086	YNL220W	C1_09640W_A
OG2087	YDR373W	C1_08680C_A
OG2088	YOR056C	C3_03650W_A
OG2089	YMR212C	C1_09360C_A
OG2090	YCL043C	C7_03250C_B
OG2091	YGR173W	
OG2092	YOR027W	C5_01820W_A
OG2093	YML102W	C5_03580C_A
OG2095	YJL087C	C7_02060W_A
OG2096	YGL203C	
OG2098	YNL280C	C2_09400C_A
OG2099	YER065C	C1_04500W_A
OG2100	YNL168C	C1_14320C_A
OG2101	YER141W	C6_00720C_A
OG2102	YHR073W	C4_03590C_B
OG2103	YOR046C	C3_01860C_A
OG2104	YMR293C	C5_04710W_A
OG2105	YIL118W	C2_05030C_A
OG2106	YLR340W	C7_00990W_A
OG2108	YFR004W	C1_14460W_A
OG2109	YMR146C	C1_02790W_A
OG2110	YKL189W	C2_04240C_A
OG2111	YJL014W	C5_05120W_A
OG2113	YCL030C	C4_00140C_A
OG2114	YJR035W	CR_07910C_A
OG2115	YNL041C	C2_05850C_A
OG2116	YGL001C	C4_06270C_A
OG2117	YBL088C	C6_03010W_A
OG2118	YPL235W	C7_01810W_A
OG2119	YPL022W	C2_10440C_A
OG2121	YPL266W	C1_13730C_A
OG2122	YJL029C	
OG2123	YNR041C	CR_10600C_A
OG2124	YAL003W	C4_04480C_A
OG2125	YNL137C	CR_04140W_A
OG2126	YOR241W	
OG2127	YLR370C	C6_01140C_A
OG2128	YFR051C	C5_02300C_A
OG2129	YOR074C	C2_05190W_A
OG2130	YDL007W	C3_00290W_A
OG2131	YLR439W	CR_07320C_A
OG2133	YDL149W	C3_05040C_A
OG2134	YKL078W	C6_01040C_A
OG2135	YNL182C	C1_06760C_B
OG2136	YPL175W	
OG2137	YCL059C	C1_11420W_A
OG2139	YLR220W	C3_03710W_A
OG2140	YMR049C	
OG2141	YOR244W	C3_00490W_A
OG2142	YDR291W	C1_14050C_A
OG2143	YKL018W	C1_07550W_A
OG2144	YDR280W	C2_09160W_A
OG2145	YOL023W	C7_02940C_A
OG2147	YFR030W	C2_09140C_A
OG2148	YLR359W	CR_06150C_A
OG2150	YHL030W	C3_07260C_A
OG2151	YJL109C	C1_14080W_A
OG2152	YDR204W	C1_03160C_A
OG2154	YAL043C	C7_00780W_A
OG2155	YNL175C	C3_07300W_A
OG2156	YJL167W	C2_04580W_A
OG2158	YAL048C	C1_00890W_A
OG2159	YBR088C	C4_01770W_A
OG2160	YOR361C	C7_01450C_A
OG2161	YJL121C	C7_00150W_A
OG2162	YMR140W	C1_05910W_A
OG2163	YDL164C	C3_00830C_A
OG2164	YMR224C	C7_01340W_A
OG2165	YGL112C	C3_06650C_A
OG2168	YDR477W	C5_01320W_A
OG2169	YML069W	C2_02380W_A
OG2170	YKR081C	C2_05230C_A
OG2171	YIL035C	CR_10660W_A
OG2172	YBR286W	
OG2173	YJL071W	C1_05020C_A
OG2174	YDL201W	C4_04810C_A
OG2177	YOR181W	CR_09650W_A
OG2178	YNL273W	C5_01460W_A
OG2179	YER107C	C6_04360C_A
OG2180	YFL024C	CR_00100C_A
OG2181	YBR234C	CR_06180W_A
OG2182	YLR133W	C3_05300C_A
OG2183	YNR012W	C3_04220C_A
OG2184	YKR026C	C7_01220W_A
OG2186	YJL101C	C1_07880C_A
OG2187	YOL038W	CR_04550W_A
OG2188	YOR356W	
OG2189	YNL206C	C6_00190W_A
OG2190	YDR531W	C6_02980C_A
OG2191	YBR202W	C2_09020W_A
OG2192	YOL030W	C5_05390C_A
OG2193	YOR272W	C1_09510W_A
OG2194	YGR185C	C4_02980W_A
OG2195	YGR005C	C2_00220C_A
OG2196	YER078C	C3_03560W_A
OG2197	YDR050C	C3_07440W_A
OG2198	YGL123W	C1_01480C_A
OG2199	YKL213C	C1_09660W_A
OG2200	YOL140W	C4_05070C_A
OG2201	YKL099C	CR_03360W_A
OG2202	YLR393W	CR_08130W_A
OG2203	YKL041W	C2_00930C_A
OG2204	YGR285C	C4_02870C_A
OG2205	YGL022W	C2_01670C_A
OG2206	YMR203W	C7_01970C_A
OG2207	YBR094W	C4_01730C_A
OG2209	YBR073W	C2_10840W_A
OG2210	YLR216C	CR_10670W_A
OG2211	YOR198C	
OG2212	YKL145W	C1_05240C_A
OG2213	YLR386W	CR_08430W_A
OG2214	YGR202C	C4_00570C_A
OG2215	YER061C	C3_05070W_A
OG2216	YDR381W	C3_04590W_A
OG2217	YOR101W	C2_10210C_B
OG2218	YBR166C	C4_01880W_A
OG2219	YLR113W	C2_03330C_A
OG2220	YAR007C	C2_00380C_A
OG2221	YML020W	C3_06290W_A
OG2222	YDR527W	C5_01430C_A
OG2223	YGR253C	CR_06750C_A
OG2224	YHR065C	CR_09740W_A
OG2225	YKL110C	CR_03370C_A
OG2226	YHR005C	C5_05220W_A
OG2227	YMR189W	
OG2228	YGR170W	C5_04680W_A
OG2229	YHR113W	
OG2230	YDL097C	C4_03790W_A
OG2231	YDR041W	
OG2233	YAL002W	C3_00700W_A
OG2234	YDR407C	
OG2235	YOR274W	C1_09390W_A
OG2236	YOR157C	CR_10300W_A
OG2238	YIL116W	C4_00650W_A
OG2239	YJL085W	C7_02050C_A
OG2240	YJL002C	C3_05530W_A
OG2242	YDR211W	C1_08600C_A
OG2243	YGL027C	C4_06100W_A
OG2244	YHR062C	
OG2245	YKL151C	C6_02030C_A
OG2246	YPL023C	C2_10460C_A
OG2247	YMR277W	C3_07460W_A
OG2248	YOR065W	
OG2249	YOR163W	C5_02220C_A
OG2250	YDR083W	C2_08480W_A
OG2251	YHR187W	C4_03140C_A
OG2253	YOL077C	C1_12310C_A
OG2254	YLR088W	C5_00040C_A
OG2257	YKL197C	C7_02490W_B
OG2259	YDL122W	C3_05870C_A
OG2260	YOR034C	C1_13220C_A
OG2263	YCR088W	C4_02940W_A
OG2264	YKL135C	C3_02430W_B
OG2265	YBR243C	C2_07940C_A
OG2266	YGR080W	C2_06770W_B
OG2267	YEL055C	C6_03120W_A
OG2269	YER110C	C1_05630C_A
OG2270	YFR041C	CR_05130C_A
OG2271	YLR239C	C1_03180W_A
OG2272	YMR235C	C3_01990W_A
OG2274	YNL119W	
